lon,lat
39.77775,-69.199166487
39.78225,-69.199166487
39.78675,-69.199166487
39.79125,-69.199166487
39.79575,-69.199166487
39.80025,-69.199166487
39.80475,-69.199166487
39.80925,-69.199166487
39.81375,-69.199166487
39.81825,-69.199166487
39.82275,-69.199166487
39.82725,-69.199166487
39.83175,-69.199166487
39.83625,-69.199166487
39.84075,-69.199166487
39.84525,-69.199166487
39.84975,-69.199166487
39.85425,-69.199166487
39.85875,-69.199166487
39.86325,-69.199166487
39.75975,-69.203666487
39.76425,-69.203666487
39.76875,-69.203666487
39.77325,-69.203666487
39.77775,-69.203666487
39.78225,-69.203666487
39.78675,-69.203666487
39.79125,-69.203666487
39.79575,-69.203666487
39.80025,-69.203666487
39.80475,-69.203666487
39.80925,-69.203666487
39.81375,-69.203666487
39.81825,-69.203666487
39.82275,-69.203666487
39.82725,-69.203666487
39.83175,-69.203666487
39.83625,-69.203666487
39.84075,-69.203666487
39.84525,-69.203666487
39.84975,-69.203666487
39.85425,-69.203666487
39.85875,-69.203666487
39.86325,-69.203666487
39.76875,-69.2081664870001
39.77325,-69.2081664870001
39.77775,-69.2081664870001
39.78225,-69.2081664870001
39.78675,-69.2081664870001
39.79125,-69.2081664870001
39.79575,-69.2081664870001
39.80025,-69.2081664870001
39.80475,-69.2081664870001
39.80925,-69.2081664870001
39.81375,-69.2081664870001
39.81825,-69.2081664870001
39.82275,-69.2081664870001
39.82725,-69.2081664870001
39.83175,-69.2081664870001
39.83625,-69.2081664870001
39.84075,-69.2081664870001
39.84525,-69.2081664870001
39.84975,-69.2081664870001
39.85425,-69.2081664870001
39.85875,-69.2081664870001
39.86325,-69.2081664870001
39.77775,-69.2126664870001
39.78225,-69.2126664870001
39.78675,-69.2126664870001
39.79125,-69.2126664870001
39.79575,-69.2126664870001
39.80025,-69.2126664870001
39.80475,-69.2126664870001
39.80925,-69.2126664870001
39.81375,-69.2126664870001
39.81825,-69.2126664870001
39.82275,-69.2126664870001
39.82725,-69.2126664870001
39.83175,-69.2126664870001
39.83625,-69.2126664870001
39.84075,-69.2126664870001
39.84525,-69.2126664870001
39.84975,-69.2126664870001
39.85425,-69.2126664870001
39.85875,-69.2126664870001
39.86325,-69.2126664870001
39.79575,-69.2171664870001
39.80025,-69.2171664870001
39.80475,-69.2171664870001
39.80925,-69.2171664870001
39.81375,-69.2171664870001
39.81825,-69.2171664870001
39.82275,-69.2171664870001
39.82725,-69.2171664870001
39.83175,-69.2171664870001
39.83625,-69.2171664870001
39.84075,-69.2171664870001
39.84525,-69.2171664870001
39.84975,-69.2171664870001
39.85425,-69.2171664870001
39.85875,-69.2171664870001
39.86325,-69.2171664870001
39.80025,-69.2216664870001
39.80475,-69.2216664870001
39.80925,-69.2216664870001
39.81375,-69.2216664870001
39.81825,-69.2216664870001
39.82275,-69.2216664870001
39.82725,-69.2216664870001
