lon,lat
38.74275,-70.004666487
38.74725,-70.004666487
38.75175,-70.004666487
38.75625,-70.004666487
38.76075,-70.004666487
38.76525,-70.004666487
38.76975,-70.004666487
38.77425,-70.004666487
38.77875,-70.004666487
38.43225,-70.009166487
38.43675,-70.009166487
38.44125,-70.009166487
38.44575,-70.009166487
38.45025,-70.009166487
38.45475,-70.009166487
38.45925,-70.009166487
38.46375,-70.009166487
38.46825,-70.009166487
38.47275,-70.009166487
38.47725,-70.009166487
38.48175,-70.009166487
38.48625,-70.009166487
38.49075,-70.009166487
38.49525,-70.009166487
38.49975,-70.009166487
38.50425,-70.009166487
38.50875,-70.009166487
38.51325,-70.009166487
38.51775,-70.009166487
38.52225,-70.009166487
38.52675,-70.009166487
38.53125,-70.009166487
38.53575,-70.009166487
38.54025,-70.009166487
38.54475,-70.009166487
38.54925,-70.009166487
38.55375,-70.009166487
38.55825,-70.009166487
38.56275,-70.009166487
38.56725,-70.009166487
38.57175,-70.009166487
38.57625,-70.009166487
38.58075,-70.009166487
38.58525,-70.009166487
38.58975,-70.009166487
38.59425,-70.009166487
38.59875,-70.009166487
38.60325,-70.009166487
38.60775,-70.009166487
38.61225,-70.009166487
38.61675,-70.009166487
38.62125,-70.009166487
38.62575,-70.009166487
38.63025,-70.009166487
38.63475,-70.009166487
38.63925,-70.009166487
38.64375,-70.009166487
38.64825,-70.009166487
38.65275,-70.009166487
38.65725,-70.009166487
38.66175,-70.009166487
38.66625,-70.009166487
38.67075,-70.009166487
38.67525,-70.009166487
38.67975,-70.009166487
38.68425,-70.009166487
38.68875,-70.009166487
38.69325,-70.009166487
38.69775,-70.009166487
38.70225,-70.009166487
38.70675,-70.009166487
38.71125,-70.009166487
38.71575,-70.009166487
38.72025,-70.009166487
38.72475,-70.009166487
38.72925,-70.009166487
38.73375,-70.009166487
38.73825,-70.009166487
38.74275,-70.009166487
38.74725,-70.009166487
38.75175,-70.009166487
38.75625,-70.009166487
38.76075,-70.009166487
38.76525,-70.009166487
38.76975,-70.009166487
38.77425,-70.009166487
38.77875,-70.009166487
38.78325,-70.009166487
38.43225,-70.013666487
38.43675,-70.013666487
38.44125,-70.013666487
38.44575,-70.013666487
38.45025,-70.013666487
38.45475,-70.013666487
38.45925,-70.013666487
38.46375,-70.013666487
38.46825,-70.013666487
38.47275,-70.013666487
38.47725,-70.013666487
38.48175,-70.013666487
38.48625,-70.013666487
38.49075,-70.013666487
38.49525,-70.013666487
38.49975,-70.013666487
38.50425,-70.013666487
38.50875,-70.013666487
38.51325,-70.013666487
38.51775,-70.013666487
38.52225,-70.013666487
38.52675,-70.013666487
38.53125,-70.013666487
38.53575,-70.013666487
38.54025,-70.013666487
38.54475,-70.013666487
38.54925,-70.013666487
38.55375,-70.013666487
38.55825,-70.013666487
38.56275,-70.013666487
38.56725,-70.013666487
38.57175,-70.013666487
38.57625,-70.013666487
38.58075,-70.013666487
38.58525,-70.013666487
38.58975,-70.013666487
38.59425,-70.013666487
38.59875,-70.013666487
38.60325,-70.013666487
38.60775,-70.013666487
38.61225,-70.013666487
38.61675,-70.013666487
38.62125,-70.013666487
38.62575,-70.013666487
38.63025,-70.013666487
38.63475,-70.013666487
38.63925,-70.013666487
38.64375,-70.013666487
38.64825,-70.013666487
38.65275,-70.013666487
38.65725,-70.013666487
38.66175,-70.013666487
38.66625,-70.013666487
38.67075,-70.013666487
38.67525,-70.013666487
38.67975,-70.013666487
38.68425,-70.013666487
38.68875,-70.013666487
38.69325,-70.013666487
38.69775,-70.013666487
38.70225,-70.013666487
38.70675,-70.013666487
38.71125,-70.013666487
38.71575,-70.013666487
38.72025,-70.013666487
38.72475,-70.013666487
38.72925,-70.013666487
38.73375,-70.013666487
38.73825,-70.013666487
38.74275,-70.013666487
38.74725,-70.013666487
38.75175,-70.013666487
38.75625,-70.013666487
38.76075,-70.013666487
38.76525,-70.013666487
38.76975,-70.013666487
38.77425,-70.013666487
38.77875,-70.013666487
38.78325,-70.013666487
38.78775,-70.013666487
38.43225,-70.018166487
38.43675,-70.018166487
38.44125,-70.018166487
38.44575,-70.018166487
38.45025,-70.018166487
38.45475,-70.018166487
38.45925,-70.018166487
38.46375,-70.018166487
38.46825,-70.018166487
38.47275,-70.018166487
38.47725,-70.018166487
38.48175,-70.018166487
38.48625,-70.018166487
38.49075,-70.018166487
38.49525,-70.018166487
38.49975,-70.018166487
38.50425,-70.018166487
38.50875,-70.018166487
38.51325,-70.018166487
38.51775,-70.018166487
38.52225,-70.018166487
38.52675,-70.018166487
38.53125,-70.018166487
38.53575,-70.018166487
38.54025,-70.018166487
38.54475,-70.018166487
38.54925,-70.018166487
38.55375,-70.018166487
38.55825,-70.018166487
38.56275,-70.018166487
38.56725,-70.018166487
38.57175,-70.018166487
38.57625,-70.018166487
38.58075,-70.018166487
38.58525,-70.018166487
38.58975,-70.018166487
38.59425,-70.018166487
38.59875,-70.018166487
38.60325,-70.018166487
38.60775,-70.018166487
38.61225,-70.018166487
38.61675,-70.018166487
38.62125,-70.018166487
38.62575,-70.018166487
38.63025,-70.018166487
38.63475,-70.018166487
38.63925,-70.018166487
38.64375,-70.018166487
38.64825,-70.018166487
38.65275,-70.018166487
38.65725,-70.018166487
38.66175,-70.018166487
38.66625,-70.018166487
38.67075,-70.018166487
38.67525,-70.018166487
38.67975,-70.018166487
38.68425,-70.018166487
38.68875,-70.018166487
38.69325,-70.018166487
38.69775,-70.018166487
38.70225,-70.018166487
38.70675,-70.018166487
38.71125,-70.018166487
38.71575,-70.018166487
38.72025,-70.018166487
38.72475,-70.018166487
38.72925,-70.018166487
38.73375,-70.018166487
38.73825,-70.018166487
38.74275,-70.018166487
38.74725,-70.018166487
38.75175,-70.018166487
38.75625,-70.018166487
38.76075,-70.018166487
38.76525,-70.018166487
38.76975,-70.018166487
38.77425,-70.018166487
38.77875,-70.018166487
38.78325,-70.018166487
38.78775,-70.018166487
38.79225,-70.018166487
38.43225,-70.022666487
38.43675,-70.022666487
38.44125,-70.022666487
38.44575,-70.022666487
38.45025,-70.022666487
38.45475,-70.022666487
38.45925,-70.022666487
38.46375,-70.022666487
38.46825,-70.022666487
38.47275,-70.022666487
38.47725,-70.022666487
38.48175,-70.022666487
38.48625,-70.022666487
38.49075,-70.022666487
38.49525,-70.022666487
38.49975,-70.022666487
38.50425,-70.022666487
38.50875,-70.022666487
38.51325,-70.022666487
38.51775,-70.022666487
38.52225,-70.022666487
38.52675,-70.022666487
38.53125,-70.022666487
38.53575,-70.022666487
38.54025,-70.022666487
38.54475,-70.022666487
38.54925,-70.022666487
